ad_id,group,emotion_label,message_type,visual_style,num_people,people_present,people_area_ratio,product_present,product_area_ratio,object_count,object_list,dominant_element,text_present,text_area_ratio,avg_font_size_proxy,dominant_colors,brightness_category,saturation_category,hue_category,visual_impact
0,financial_institutions,calm,informational,product_focused,3,1,0.4793044529091626,0,0.0,3,"['person', 'person', 'person']",person,1,0.20295384615384615,13.764705882352942,"['#eee5de', '#2c2831', '#b26651']",light,balanced,green,0.534704705882353
1,food,exciting,informational,product_focused,1,1,0.018651781635255448,0,0.0,1,['person'],person,1,0.10013772507568733,44.48950913907004,"['#b12c28', '#d7a83b', '#ebdcbc']",light,vibrant,red,0.7273358823529412
2,electronics,exciting,informational,product_focused,0,0,0.0,1,0.550735041267199,2,"['cell phone', 'cell phone']",cell phone,1,0.07896835380793366,54.19155559371171,"['#37474d', '#060c0f', '#748f97']",dark,balanced,blue,0.32192725490196084
3,food,joy,informational,product_focused,0,0,0.0,1,0.8231063316423227,2,"['bed', 'dining table']",dining table,1,0.08543745572092783,30.833333333333332,"['#d1c7c4', '#b19c8e', '#714f44']",light,muted,green,0.4422198039215686
4,body_wear,exciting,informational,product_focused,1,1,0.45645364354429563,1,0.13848151263916725,3,"['person', 'skateboard', 'skateboard']",person,1,0.12005254072205214,102.51517849701757,"['#bac9d6', '#7494ab', '#393945']",light,balanced,blue,0.46853254901960784
5,food,calm,informational,lifestyle,1,1,0.678975505299398,1,0.27745124274089195,2,"['person', 'book']",person,1,0.12064516207356635,64.66397742453537,"['#ca6c4d', '#7c4d42', '#d3b4a5']",light,balanced,red,0.5846729411764706
6,vehicles,exciting,informational,product_focused,1,1,0.1258707146522927,1,0.39253716721003823,2,"['motorcycle', 'person']",motorcycle,1,0.10296229802513465,32.888888888888886,"['#b3bdc5', '#2e2b2e', '#676e78']",medium,muted,blue,0.3140349019607843
7,vehicles,exciting,informational,product_focused,0,0,0.0,1,0.14085105681467497,1,['truck'],truck,1,0.23154403139031593,26.0,"['#252021', '#684244', '#a7a4a4']",dark,muted,green,0.19510313725490197
8,sports,exciting,emotional,product_focused,1,1,0.23241693122348284,0,0.0,1,['person'],person,1,0.2504574069040159,45.8463104698462,"['#9fbbc9', '#736465', '#dee6ea']",light,muted,green,0.48375843137254904
9,vehicles,exciting,informational,complex,0,0,0.0,1,0.40958972888975054,1,['motorcycle'],motorcycle,1,0.14900961929066112,39.23836099265547,"['#bec2c8', '#2a2a2a', '#976164']",medium,muted,blue,0.3759572549019608
12,home_essentials,exciting,informational,product_focused,1,1,0.10024141152061163,1,0.3495844925271699,3,"['person', 'airplane', 'cup']",airplane,1,0.06351091379948205,49.0,"['#2580b2', '#1b3c5a', '#cacac5']",medium,vibrant,blue,0.6248786274509803
13,home_essentials,calm,informational,product_focused,0,0,0.0,0,0.0,0,[],none,1,0.089752,63.25,"['#68c1df', '#1c94b7', '#d8e5dd']",light,balanced,blue,0.6834190196078431
14,food,joy,emotional,lifestyle,0,0,0.0,1,0.37829490116824854,1,['donut'],donut,1,0.20290741459196865,81.92714482300723,"['#6cc3ed', '#e89948', '#7d5d9c']",light,balanced,green,0.7172574509803921
15,electronics,joy,informational,product_focused,0,0,0.0,1,0.31887545236642184,4,"['chair', 'laptop', 'laptop', 'tv']",laptop,1,0.12891203703703705,34.85,"['#503f33', '#c9cdd7', '#807b7f']",medium,muted,green,0.3953158823529412
16,drinks,exciting,informational,product_focused,0,0,0.0,1,0.11320908725869565,7,"['bottle', 'bottle', 'bottle', 'orange', 'bottle', 'orange', 'bottle']",bottle,1,0.14695971487201642,23.5,"['#fcfbfb', '#c05b3f', '#d3af9f']",light,muted,green,0.5275976470588235
19,cosmetics,exciting,informational,product_focused,1,1,0.9597500546867512,1,0.03507536320843012,2,"['person', 'bottle']",person,1,0.07871545929798357,17.833333333333332,"['#2d3539', '#babbb4', '#686f70']",medium,muted,blue,0.2760974509803921
20,drinks,exciting,informational,product_focused,0,0,0.0,1,0.3417306828317952,2,"['bottle', 'cup']",bottle,1,0.14362196180555556,55.22222222222222,"['#7f7960', '#c9c9b3', '#100f0f']",medium,balanced,green,0.43650098039215685
21,electronics,exciting,informational,product_focused,0,0,0.0,0,0.0,0,[],none,1,0.1437750771604938,35.857142857142854,"['#172742', '#3e72a0', '#b7b7b9']",medium,vibrant,blue,0.5166625490196078
25,food,sad,informational,product_focused,0,0,0.0,0,0.0,0,[],none,1,0.027340969780032986,16.942659258249847,"['#b5805a', '#735a4b', '#d0c4b8']",light,balanced,red,0.5378641176470588
26,food,joy,informational,product_focused,0,0,0.0,1,0.2768458802232376,1,['sandwich'],sandwich,1,0.13718278463648834,43.38461538461539,"['#d8b435', '#f8f7f4', '#216935']",light,balanced,yellow,0.6607152941176471
27,food,exciting,emotional,product_focused,2,1,0.8571990615891417,0,0.0,2,"['person', 'person']",person,1,0.09575663440374584,49.83825169248303,"['#bbb6b3', '#22232a', '#76645b']",medium,balanced,green,0.3916337254901961
28,body_wear,exciting,informational,product_focused,1,1,0.5333324304527991,0,0.0,1,['person'],person,1,0.13102302327253573,23.201609845111946,"['#45212d', '#dbc5a6', '#9e406f']",medium,balanced,blue,0.5617366666666666
30,vehicles,calm,informational,product_focused,0,0,0.0,1,0.35020910252952886,1,['car'],car,1,0.18563098086124402,25.833333333333332,"['#b5785a', '#443433', '#ebe3d3']",medium,balanced,green,0.460478431372549
31,home_essentials,calm,informational,product_focused,1,1,0.27350244687189906,1,0.027340182358654215,2,"['person', 'stop sign']",person,1,0.12653793713016298,52.14975489440953,"['#e6e7e7', '#3c5f33', '#c2ac86']",light,balanced,green,0.5013296078431373
33,electronics,calm,informational,product_focused,0,0,0.0,1,0.729085277871573,2,"['laptop', 'keyboard']",laptop,1,0.0020540472539318628,12.571428571428571,"['#713a46', '#efd1c0', '#321ab6']",light,vibrant,blue,0.6387135294117647
34,cosmetics,joy,informational,product_focused,1,1,0.3192556102822817,0,0.0,1,['person'],person,1,0.05399787808641975,35.714285714285715,"['#c3dddb', '#615f65', '#98afb3']",light,muted,green,0.44242137254901964
35,food,joy,emotional,lifestyle,4,1,0.9551165062267756,1,0.15455703217205155,8,"['person', 'bowl', 'pizza', 'person', 'person', 'bowl', 'dining table', 'person']",person,1,0.078075,31.77777777777778,"['#464d3b', '#ded3d8', '#af978b']",light,muted,blue,0.4536309803921569
37,body_wear,exciting,informational,product_focused,2,1,0.43484634001875283,0,0.0,2,"['person', 'person']",person,1,0.14980959210242345,24.142857142857142,"['#ddd9e0', '#5e5c61', '#a09ea3']",medium,muted,blue,0.35226823529411766
42,electronics,joy,informational,product_focused,0,0,0.0,1,0.4278596618364275,1,['keyboard'],keyboard,1,0.06233453360768176,26.08,"['#2d2c32', '#fdf9f7', '#b5978c']",light,muted,yellow,0.42534470588235296
43,electronics,calm,informational,complex,0,0,0.0,1,0.5725794371853893,1,['potted plant'],potted plant,1,0.052222222222222225,13.333333333333334,"['#b3cd3f', '#6c4049', '#f4edf1']",light,balanced,green,0.5968066666666667
50,food,joy,informational,product_focused,0,0,0.0,0,0.0,0,[],none,1,0.12717355920546702,14.129554707514602,"['#8a8650', '#e3ecef', '#30542a']",light,balanced,green,0.5302952941176471
51,food,joy,informational,product_focused,0,0,0.0,1,0.0743345165097167,2,"['stop sign', 'teddy bear']",teddy bear,1,0.2178003814188489,90.3425700948372,"['#f1edea', '#b63b37', '#cdab87']",light,balanced,green,0.5738688235294117
52,home_essentials,exciting,informational,product_focused,0,0,0.0,1,0.1139687808516319,3,"['bottle', 'vase', 'bottle']",bottle,1,0.15502019875635278,30.44826931338843,"['#ce4750', '#224696', '#c5c1c6']",light,balanced,blue,0.640031568627451
53,food,sad,informational,product_focused,3,1,0.023824238977462636,1,0.19187342124417608,10,"['donut', 'orange', 'person', 'cup', 'donut', 'person', 'person', 'donut', 'orange', 'donut']",cup,1,0.08786377937859591,21.807289171152153,"['#254c9f', '#f8f8f5', '#c98954']",light,balanced,green,0.6017813725490196
54,food,exciting,informational,product_focused,1,1,0.6572915304761485,1,0.06326624718875458,2,"['cup', 'person']",person,1,0.1601247877898559,30.27898839140009,"['#f0efee', '#97271e', '#ae9188']",light,balanced,red,0.6049211764705883
57,electronics,joy,informational,product_focused,2,1,0.18686095360968896,1,0.4063359459310335,6,"['person', 'person', 'cell phone', 'cell phone', 'cell phone', 'suitcase']",suitcase,1,0.058015705471671494,33.2,"['#514b52', '#1b1919', '#af82a7']",dark,muted,green,0.208868431372549
58,cosmetics,exciting,informational,product_focused,0,0,0.0,1,0.15584248702983666,1,['suitcase'],suitcase,1,0.20310613854595336,51.785714285714285,"['#500506', '#bb9797', '#d50e0f']",medium,vibrant,yellow,0.6566972549019608
