duration_hours,duration_days,pr_number,pr_id,state,merged,draft,created_at,closed_at,merged_at,updated_at,ready_for_review_time,workflow_start_time,author_login,author_id,merged_by_login,reviewer_count,reviewers,additions,deletions,changed_files,commits,total_lines_changed,comments,review_comments,review_count,review_approved_count,review_commented_count,review_changes_requested_count,review_dismissed_count,first_review_time,first_approval_time,time_to_first_review_hours,time_to_first_approval_hours,timeline_event_count,commit_count_timeline,comment_count_timeline,review_requested_count,title,body,title_length,body_length,repo_language
67.79638888888888,2.824849537037037,500,2834092739,closed,True,False,2025-09-16T19:11:27Z,2025-09-19T14:59:14Z,2025-09-19T14:59:14Z,2025-09-19T14:59:16Z,,2025-09-16T19:11:27+00:00,[user_3],3,[user_3],6,[user_2]|[user_4]|[user]|[user_5]|[user_6]|[user_7],122,34,7,4,156,1,4,2,1,1,0,0,2025-09-16T21:43:39+00:00,2025-09-18T21:28:06+00:00,2.5366666666666666,50.2775,20,4,1,7,956 FE: Obavijesti,"# Description

Dodana nova stranica /notifications kojoj se može pristupiti samo putem ""Prikaži više"" gumba u postojećem dropdownu notifikacija. Broj notifikacija u dropdownu je limitiran na 5, a na stranici se prikazuje 25 po 25 infinite scrollanjem na isti način kao što je originalno bilo u dropdownu. Dizajn prati [tabler](https://preview.tabler.io/activity.html)

<img width=""624"" height=""616"" alt=""notifikacije 1"" src=""https://github.com/user-attachments/assets/f0bc4c2a-4343-411d-b292-132320658dd7"" />

<img width=""1905"" height=""947"" alt=""notifications 2"" src=""https://github.com/user-attachments/assets/ba2f1ee1-69b8-42b4-9bd2-e0c62ebf1cf2"" />

## Merge commit message

Added Notifications page, added button show more to access it, adapted code

Task: [acE7qbOk](https://trello.com/c/acE7qbOk)

## Type of change

- [ ] :bug: Bug fix
- [ ] :building_construction: New feature
- [X] :wrench: Update to an existing feature
- [ ] :axe: Refactor / Cleanup

## Apps

- [ ] :back: Backend
- [X] :front: Frontend

# Checklist:

- [X] Self code review
- [X] Self Q&A test
- [ ] Tests for new or changed hooks, components, forms, and other objects
- [ ] Mobile layout
",18,1200,TypeScript
16.541666666666668,0.6892361111111112,501,2834388820,closed,True,False,2025-09-16T21:11:03Z,2025-09-17T13:43:33Z,2025-09-17T13:43:33Z,2025-09-17T13:43:35Z,,2025-09-16T21:11:03+00:00,[user_6],6,[user_6],1,[user_3],31,8,2,4,39,0,0,1,1,0,0,0,2025-09-17T11:23:54+00:00,2025-09-17T11:23:54+00:00,14.214166666666667,14.214166666666667,11,4,0,1,949 fe ubaciti crvene zvjezdice na obavezna polja,"# Description

Na Users i Inventory page-u u formama obavezna polja nisu bila obilježena prilikom ispunjavanja. Dodane crvene zvjezdice na obavezna polja.

## Merge commit message

Added marks to required fields on UserForm and InventoryForm.

Task: [sPLfBnsE](https://trello.com/c/sPLfBnsE)

## Type of change

- [X] :bug: Bug fix
- [ ] :building_construction: New feature
- [ ] :wrench: Update to an existing feature
- [ ] :axe: Refactor / Cleanup

## Apps

- [ ] :back: Backend
- [x] :front: Frontend

# Checklist:

- [x] Self code review
- [x] Self Q&A test
- [ ] Tests for new or changed hooks, components, forms, and other objects
- [ ] Mobile layout
",49,685,TypeScript
0.0019444444444444444,8.101851851851852e-05,502,2834473692,closed,True,False,2025-09-16T21:54:18Z,2025-09-16T21:54:25Z,2025-09-16T21:54:25Z,2025-09-16T21:54:27Z,2025-09-16T21:54:21Z,2025-09-16T21:54:18+00:00,[user],[user_id],[user],0,,1,1,1,1,2,0,0,0,0,0,0,0,,,,,7,1,0,0,chroe: nullable sent to production,"# Description

Summarize what changed and why. Help readers understand the impact of your changes.

Always attach a video or screenshot showing the update. If possible, include before and after comparisons.

## Merge commit message

Briefly summarize what changed in this update using non-technical language. Keep it short (about 1-2 sentences); this will be shown to customers.

Task: [TASK_ID](https://trello.com/c/TASK_ID)

## Type of change

- [X] :bug: Bug fix
- [ ] :building_construction: New feature
- [ ] :wrench: Update to an existing feature
- [ ] :axe: Refactor / Cleanup

## Apps

- [ ] :back: Backend
- [ ] :front: Frontend

# Checklist:

- [ ] Self code review
- [ ] Self Q&A test
- [ ] Tests for new or changed hooks, components, forms, and other objects
- [ ] Mobile layout
",34,821,TypeScript
150.9225,6.288437500000001,503,2836501513,closed,True,False,2025-09-17T12:48:01Z,2025-09-23T19:43:22Z,2025-09-23T19:43:22Z,2025-09-23T19:43:24Z,,2025-09-17T12:48:01+00:00,[user_3],3,[user_3],7,[user_2]|[user_4]|[user]|[user_5]|[user_6]|[user_7]|[user_3],50,3,6,5,53,0,4,8,3,5,0,0,2025-09-18T13:11:04+00:00,2025-09-20T20:21:50+00:00,24.384166666666665,79.56361111111111,21,5,0,6,893 FE: User changes,"# Description

Ubačene sve potrebne stvari za pregled povijesti izmjena korisnika u plug & play Changes komponentu. Dodana userFieldBooleanTypes konstanta za mapiranje true/false vrijednosti u Da/Ne. Povezan endpoint.

## Merge commit message

Added history changes logic to user

Task: [qJNt6ejM](https://trello.com/c/qJNt6ejM)

## Type of change

- [ ] :bug: Bug fix
- [ ] :building_construction: New feature
- [X] :wrench: Update to an existing feature
- [ ] :axe: Refactor / Cleanup

## Apps

- [ ] :back: Backend
- [X] :front: Frontend

# Checklist:

- [X] Self code review
- [X] Self Q&A test
- [ ] Tests for new or changed hooks, components, forms, and other objects
- [ ] Mobile layout
",20,722,TypeScript
286.0997222222222,11.92082175925926,504,2836742631,closed,True,False,2025-09-17T13:57:09Z,2025-09-29T12:03:08Z,2025-09-29T12:03:08Z,2025-09-29T12:03:10Z,,2025-09-17T13:57:09+00:00,[user_3],3,[user_3],7,[user_2]|[user_4]|[user]|[user_5]|[user_6]|[user_7]|[user_3],74,7,2,14,81,2,9,11,3,7,1,0,2025-09-18T21:14:52+00:00,2025-09-18T21:14:52+00:00,31.295277777777777,31.295277777777777,44,14,2,10,937 FE: Prodajni kanal kao obvezno polje,"# Description

Polje prodajnog kanala je sada obvezno prilikom kreiranja događaja. Kod uređivanja postojećih je opcijonalno kao i dosad.

## Merge commit message

Made referralSource field important when creating new event

Task: [hjVvm6C2](https://trello.com/c/hjVvm6C2)

## Type of change

- [ ] :bug: Bug fix
- [ ] :building_construction: New feature
- [X] :wrench: Update to an existing feature
- [ ] :axe: Refactor / Cleanup

## Apps

- [ ] :back: Backend
- [X] :front: Frontend

# Checklist:

- [X] Self code review
- [X] Self Q&A test
- [ ] Tests for new or changed hooks, components, forms, and other objects
- [ ] Mobile layout
",40,665,TypeScript
188.59055555555557,7.857939814814816,505,2837054974,closed,True,False,2025-09-17T15:24:05Z,2025-09-25T11:59:32Z,2025-09-25T11:59:31Z,2025-09-25T11:59:33Z,2025-09-19T12:51:29Z,2025-09-17T15:24:05+00:00,[user_2],2,[user_2],6,[user_4]|[user]|[user_5]|[user_6]|[user_7]|[user_3],217,82,21,16,299,1,1,3,2,1,0,0,2025-09-18T13:21:45+00:00,2025-09-24T09:48:39+00:00,21.961111111111112,162.40944444444443,34,16,1,6,916 FS Odvajanje datuma i vremena,"# Description

Dodani startDate i startTime (obrisan startsAt), migracijska skripta, dodan opcionalan time input za start time u event formi.
Bila je borba s migracijon da podaci ostanu tocni zbog vremenske zone. 

## Merge commit message

Separate event start date and start time and make start time optional.

Task: [jAWUSW5z](https://trello.com/c/jAWUSW5z)

## Type of change

- [ ] :bug: Bug fix
- [ ] :building_construction: New feature
- [X] :wrench: Update to an existing feature
- [ ] :axe: Refactor / Cleanup

## Apps

- [X] :back: Backend
- [X] :front: Frontend

# Checklist:

- [X] Self code review
- [X] Self Q&A test
- [ ] Tests for new or changed hooks, components, forms, and other objects
- [ ] Mobile layout
",33,754,TypeScript
161.54638888888888,6.731099537037037,506,2837095781,closed,True,False,2025-09-17T15:36:10Z,2025-09-24T09:08:57Z,2025-09-24T09:08:57Z,2025-09-24T09:08:59Z,,2025-09-17T15:36:10+00:00,[user_3],3,[user_3],7,[user_2]|[user_4]|[user]|[user_5]|[user_6]|[user_7]|[user_3],79,30,7,2,109,0,6,9,3,6,0,0,2025-09-18T11:30:06+00:00,2025-09-18T11:30:06+00:00,19.898888888888887,19.898888888888887,21,2,0,7,940 FE: EmptyState komponenta,"# Description

Prikaz empty state-a u pagevima je prebačen u novu EmptyState komponentu. Napisani testovi za istoimenu komponentu.

## Merge commit message

Created EmptyState component, added tests

Task: [5H4j06TF](https://trello.com/c/5H4j06TF)

## Type of change

- [ ] :bug: Bug fix
- [ ] :building_construction: New feature
- [ ] :wrench: Update to an existing feature
- [X] :axe: Refactor / Cleanup

## Apps

- [ ] :back: Backend
- [X] :front: Frontend

# Checklist:

- [X] Self code review
- [X] Self Q&A test
- [X] Tests for new or changed hooks, components, forms, and other objects
- [ ] Mobile layout
",29,641,TypeScript
947.9758333333333,39.49899305555555,507,2838029469,closed,True,False,2025-09-17T21:38:42Z,2025-10-27T09:37:16Z,2025-10-27T09:37:15Z,2025-10-27T09:37:18Z,2025-09-24T10:03:15Z,2025-09-17T21:38:42+00:00,[user_6],6,[user_2],6,[user_2]|[user_4]|[user]|[user_6]|[user_7]|[user_3],155,14,7,30,169,6,14,14,4,10,0,0,2025-09-18T22:26:01+00:00,2025-09-24T18:35:03+00:00,24.788611111111113,164.93916666666667,63,30,6,7,918 fs razlog odbijanja,"# Description

Kod uređivanja događaja dodano je novo polje Razlog odbijanja koje se pojavi ako je status promijenjen iz bilo kojeg drugog u Odbijeno. Polje se obavezno mora popuniti. Ako se ide ponovno na edit može se uredit razlog odbijanja. Ako se ponovno status mijenja iz Odbijeno u bilo koji drugi, vrijednost za polje Razlog odbijanja se briše, a vidi se u povijesti promjena.

## Merge commit message

Dodano polje ""Razlog odbijanja"" ako se status rezervacije ažurira u Odbijeno.

Task: [4fNQKQgS](https://trello.com/c/4fNQKQgS)

## Type of change

- [ ] :bug: Bug fix
- [ ] :building_construction: New feature
- [x] :wrench: Update to an existing feature
- [ ] :axe: Refactor / Cleanup

## Apps

- [x] :back: Backend
- [x] :front: Frontend

# Checklist:

- [x] Self code review
- [x] Self Q&A test
- [ ] Tests for new or changed hooks, components, forms, and other objects
- [x] Mobile layout
",23,930,TypeScript
138.23944444444444,5.759976851851852,508,2840605253,closed,True,False,2025-09-18T14:54:05Z,2025-09-24T09:08:27Z,2025-09-24T09:08:27Z,2025-09-24T09:08:28Z,,2025-09-18T14:54:05+00:00,[user_3],3,[user_3],7,[user_2]|[user_4]|[user]|[user_5]|[user_6]|[user_7]|[user_3],39,10,4,3,49,0,2,5,3,2,0,0,2025-09-18T17:03:52+00:00,2025-09-18T17:03:52+00:00,2.1630555555555557,2.1630555555555557,19,3,0,7,944 FE: Dodati checkbox filter na događajima,"# Description

Dodan checkbox u filtere događaja i filtriranje na temelju ""Poslano na obradu"" polja.

## Merge commit message

Added sentToProduction checkbox on event filters

Task: [uJGXwypN](https://trello.com/c/uJGXwypN)

## Type of change

- [ ] :bug: Bug fix
- [ ] :building_construction: New feature
- [X] :wrench: Update to an existing feature
- [ ] :axe: Refactor / Cleanup

## Apps

- [ ] :back: Backend
- [X] :front: Frontend

# Checklist:

- [X] Self code review
- [X] Self Q&A test
- [ ] Tests for new or changed hooks, components, forms, and other objects
- [ ] Mobile layout
",44,618,TypeScript
137.3311111111111,5.72212962962963,509,2840812541,closed,True,False,2025-09-18T15:49:30Z,2025-09-24T09:09:22Z,2025-09-24T09:09:22Z,2025-09-24T09:09:24Z,,2025-09-18T15:49:30+00:00,[user_3],3,[user_3],6,[user_2]|[user_4]|[user]|[user_5]|[user_6]|[user_7],24,23,2,3,47,0,1,4,3,1,0,0,2025-09-18T20:54:57+00:00,2025-09-18T20:54:57+00:00,5.090833333333333,5.090833333333333,19,3,0,7,952 FE: Centriranje headera kalendara,"# Description

Dodan display:grid na header kalendara, centriran središnji element. Prilagođen ostatak koda, mobilni prikaz ostavljen kakav je bio.

## Merge commit message

Centered calendar header with grid
Centered middle element

Task: [ZpMS6xgV](https://trello.com/c/ZpMS6xgV)

## Type of change

- [ ] :bug: Bug fix
- [ ] :building_construction: New feature
- [ ] :wrench: Update to an existing feature
- [X] :axe: Refactor / Cleanup

## Apps

- [ ] :back: Backend
- [X] :front: Frontend

# Checklist:

- [X] Self code review
- [X] Self Q&A test
- [ ] Tests for new or changed hooks, components, forms, and other objects
- [X] Mobile layout
",37,676,TypeScript
86.6061111111111,3.6085879629629627,510,2840983586,closed,True,False,2025-09-18T16:44:26Z,2025-09-22T07:20:48Z,2025-09-22T07:20:48Z,2025-11-21T22:45:46Z,,2025-09-18T16:44:26+00:00,[user_5],5,[user_5],6,[user_2]|[user_4]|[user]|[user_6]|[user_7]|[user_3],38,1,6,4,39,0,0,3,3,0,0,0,2025-09-18T20:49:38+00:00,2025-09-18T20:49:38+00:00,4.086666666666667,4.086666666666667,19,4,0,6,815 be nedostaje id mismatch validacija,"# Description

Dodana ID mismatch validacija, ali ne na svim PATCH/PUT rutama, vec na onim koje sadrže ID u bodyu. Mogu dodat i na ostale.

Always attach a video or screenshot showing the update. If possible, include before and after comparisons.

## Merge commit message

Implemented interceptor for checking id mismatch

Task: [TASK_ID](https://trello.com/c/rSpsUzMV/815-be-nedostaje-id-mismatch-validacija)

## Type of change

- [ ] :bug: Bug fix
- [ ] :building_construction: New feature
- [ ] :wrench: Update to an existing feature
- [ ] :axe: Refactor / Cleanup

## Apps

- [x] :back: Backend
- [ ] :front: Frontend

# Checklist:

- [ ] Self code review
- [ ] Self Q&A test
- [ ] Tests for new or changed hooks, components, forms, and other objects
- [ ] Mobile layout
",39,805,TypeScript
160.80333333333334,6.7001388888888895,511,2841391659,closed,True,False,2025-09-18T19:07:50Z,2025-09-25T11:56:02Z,2025-09-25T11:56:02Z,2025-09-25T11:56:03Z,2025-09-22T20:51:27Z,2025-09-18T19:07:50+00:00,[user_6],6,[user_6],3,[user_4]|[user]|[user_7],54,26,1,4,80,0,6,2,1,1,0,0,2025-09-18T22:14:58+00:00,2025-09-23T13:56:26+00:00,3.118888888888889,114.81,15,4,0,3,954 fe način isporuke,"# Description

Checkboxovi za način isporuke nisu funkcionirali. Da bi se promjenio način isporuke trenutni checkbox bi se morao odznačiti kako bi se drugi mogao označiti. Sada koristimo radio botune.

## Merge commit message

Kod načina isporuke checkboxovi zamijenjeni radio botunima.

Task: [M1qdXb5Y](https://trello.com/c/M1qdXb5Y)

## Type of change

- [X] :bug: Bug fix
- [ ] :building_construction: New feature
- [ ] :wrench: Update to an existing feature
- [ ] :axe: Refactor / Cleanup

## Apps

- [ ] :back: Backend
- [x] :front: Frontend

# Checklist:

- [x] Self code review
- [x] Self Q&A test
- [ ] Tests for new or changed hooks, components, forms, and other objects
- [ ] Mobile layout
",21,729,TypeScript
